setname,filename,is_nd2,Image_Metadata_Plate,n_sites,n_channels,n_images,image_width,count_cpa,count_user,frac_user,frac_cpa
DavidPearlQCFixed,Classifier_20201020T134356__David,FALSE,20201020T134356,768,5,3840,2000,230,90,0.02,0.06
DavidPearlQCFixed,Classifier_20201021T092317__Pearl,FALSE,20201021T092317,3454,5,17270,2000,2765,490,0.03,0.16
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixC1PlaneP1,1152,5,5760,1080,175,175,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixC1PlaneP2,1152,5,5760,1080,165,150,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixC1PlaneP3,1152,5,5760,1080,170,165,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixC1PlaneP4,1151,5,5755,1080,170,165,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixCP1,1152,5,5760,1080,175,175,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixCP2,1152,5,5760,1080,165,165,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixCP3,1152,5,5760,1080,165,160,0.03,0.03
DavidPearlQCFixed,Classifier_C_BIN2__David,FALSE,CPBroadPhenixCP4,1152,5,5760,1080,140,140,0.02,0.02
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNC1PlaneP1,1152,5,5760,1080,380,380,0.07,0.07
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNC1PlaneP2,1152,5,5760,1080,310,35,0.01,0.05
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNC1PlaneP3,1152,5,5760,1080,335,55,0.01,0.06
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNC1PlaneP4,1152,5,5760,1080,275,35,0.01,0.05
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNCP1,1152,5,5760,1080,420,10,0,0.07
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNCP2,1152,5,5760,1080,315,10,0,0.05
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNCP3,1152,5,5760,1080,320,20,0,0.06
DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,FALSE,CPBroadPhenixNCP4,1152,5,5760,1080,250,15,0,0.04
DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,FALSE,Plate2_PCO_6ch_4site_10XPA,1535,6,9210,5120,1536,1344,0.15,0.17
DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,FALSE,Plate3_PCO_6ch_4site_10XPA_Crest,1536,6,9216,5120,2094,1740,0.19,0.23
DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,FALSE,Plate3_PCO_6ch_4site_10XPA_Crestz,1533,6,9198,5120,672,642,0.07,0.07
DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,TRUE,BR00117060a10x,384,4,1536,1608,580,404,0.26,0.38
DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,TRUE,BR00117061a10x,384,4,1536,1608,460,164,0.11,0.3
DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,TRUE,BR00117062a10x,384,4,1536,1608,452,88,0.06,0.29
DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,TRUE,BR00117063b10x,384,4,1536,1608,456,64,0.04,0.3
ErinQC,Classifier_Batch11_Erin,FALSE,BRO0117014_10x,1535,5,7675,2000,695,440,0.06,0.09
ErinQC,Classifier_Batch12_Erin,FALSE,BRO0117033_20x,833,5,4165,2000,255,230,0.06,0.06
ErinQC,Classifier_Batch12_Erin,FALSE,BRO0117033_20xb,3456,5,17280,2000,875,570,0.03,0.05
ErinQC,Classifier_Batch12_Erin,FALSE,BRO0117056_20x,3456,5,17280,2000,350,265,0.02,0.02
ErinQC,Classifier_Batch12_Erin,FALSE,BRO0117056_20xb,3456,5,17280,2000,355,280,0.02,0.02
ErinQC,Classifier_Batch12_Erin,FALSE,BRO0117059_20X,3454,5,17270,1994,190,170,0.01,0.01
ErinQC,Classifier_Batch13_Erin,FALSE,BRO0117059_40x,3451,5,17255,1996,1090,690,0.04,0.06
ErinQC,Classifier_Batch12_Erin,FALSE,BRO01177034_20x,3465,5,17325,2000,520,425,0.02,0.03
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P1,1152,5,5760,2160,1275,720,0.12,0.22
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P2,1152,5,5760,2160,1465,345,0.06,0.25
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P3,1152,5,5760,2160,1725,615,0.11,0.3
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_1Plane_P4,1152,5,5760,2160,2045,450,0.08,0.36
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P1,1152,5,5760,2160,1860,530,0.09,0.32
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P2,1152,5,5760,2160,2590,310,0.05,0.45
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P3,1151,5,5755,2160,2775,410,0.07,0.48
ErinQC,Classifier_NC_BIN1_Erin,FALSE,CP_Broad_Phenix_NC_BIN1_P4,1151,5,5755,2160,3050,310,0.05,0.53
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117061a,3456,4,13824,1608,3504,2852,0.21,0.25
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117062a,3456,4,13824,1608,6556,5872,0.42,0.47
ErinQC,Classifier_Batch10_Erin,TRUE,BR00117063b,3456,4,13824,1608,5824,5204,0.38,0.42
